SEXO;IDADE;TAMANHO DA FAMÍLIA;MORA COM A FAMÍLIA;NÍVEL ESCOLAR MÃE;NÍVEL ESCOLAR PAI;TRABALHO MÃE;TRABALHO PAI;TEMPO ESTUDO SEMANAL;REPROVAÇÕES;SUPORTE EDUCACIONAL ESCOLAR;SUPORTE EDUCACIONAL FAMILIAR;REALIZA ATIVIDADE EXTRA CURRICULAR;VISA EDUCAÇÃO SUPERIOR;POSSUI INTERNET EM CASA;TEM ALGUM RELACIONAMENTO AMOROSO;QUALIDADE RELACIONAMENTO FAMILIAR;TEMPO LIVRE;SAIR C/AMIGOS;CONSUMO ALCOOL DIA SEMANA;CONSUMO ALCOOL FIM SEMANA;CONDIÇÃO DE SAÚDE;FALTAS ;FALTAS CONCEITO;G1;G2;G3;MEDIA  NOTA;CONCEITO MEDIA NOTA;DESEMEPENHO RUIM
F;15;GT3;Sim;Médio;Superior;Servidor;Saúde;Médio;Não;Sim;Sim;Sim;Sim;Sim;Não;Bom;Regular;Pouco;Pouquíssimo;Pouquíssimo;Excelente;2;BAIXO;11;12;12;11,66666667;B;NÃO
F;15;GT3;Sim;Fundamental;Fundamental;Lar;Outros;Baixíssimo;Não;Sim;Sim;Sim;Sim;Não;Não;Bom;Regular;Pouquíssimo;Pouquíssimo;Pouquíssimo;Ruim;8;MODERADA;14;13;12;13;B;NÃO
F;16;LE3;Sim;Fundamental;Fundamental;Outros;Outros;Baixo;Não;Não;Sim;Sim;Sim;Sim;Sim;Regular;Regular;Regular;Pouquíssimo;Pouco;Regular;16;ALTÍSSIMO;11;11;10;10,66666667;B;NÃO
M;15;LE3;Sim;Superior;Superior;Professor;Outros;Baixíssimo;Não;Não;Sim;Não;Sim;Sim;Sim;Excelente;Alto;Regular;Pouco;Alto;Excelente;8;MODERADA;10;11;11;10,66666667;B;NÃO
M;15;GT3;Sim;Superior;Superior;Servidor;Professor;Baixo;Não;Não;Sim;Sim;Sim;Sim;Não;Bom;Regular;Regular;Pouquíssimo;Pouquíssimo;Excelente;0;BAIXO;14;15;15;14,66666667;B;NÃO
M;15;GT3;Sim;Fundamental;Fundamental;Servidor;Servidor;Baixíssimo;Não;Sim;Sim;Não;Sim;Sim;Não;Excelente;Alto;Pouquíssimo;Pouquíssimo;Pouquíssimo;Péssima;0;BAIXO;9;10;10;9,666666667;C;SIM
F;16;LE3;Sim;Fundamental;Fundamental;Outros;Lar;Baixo;Poucas;Sim;Não;Sim;Sim;Sim;Não;Bom;Regular;Regular;Pouco;Pouco;Excelente;14;ALTÍSSIMO;10;11;11;10,66666667;B;NÃO
F;15;LE3;Não;Superior;Médio;Outros;Outros;Baixo;Não;Sim;Sim;Sim;Sim;Sim;Sim;Excelente;Pouco;Pouco;Pouquíssimo;Pouquíssimo;Excelente;4;BAIXO;10;11;11;10,66666667;B;NÃO
F;16;LE3;Não;Médio;Médio;Outros;Servidor;Baixo;Não;Não;Sim;Não;Sim;Sim;Não;Ruim;Regular;Altíssimo;Pouquíssimo;Alto;Regular;6;MODERADA;13;12;13;12,66666667;B;NÃO
M;16;GT3;Sim;Superior;Médio;Saúde;Servidor;Alto;Não;Não;Não;Sim;Sim;Sim;Não;Bom;Pouco;Pouco;Pouquíssimo;Pouquíssimo;Ruim;2;BAIXO;17;17;17;17;A;NÃO
M;15;GT3;Sim;Superior;Fundamental;Professor;Outros;Baixo;Não;Não;Sim;Não;Sim;Não;Não;Bom;Regular;Regular;Pouco;Pouco;Excelente;4;BAIXO;11;12;13;12;B;NÃO
F;15;GT3;Sim;Superior;Superior;Servidor;Professor;Baixo;Não;Sim;Sim;Sim;Sim;Sim;Não;Bom;Alto;Alto;Pouquíssimo;Pouquíssimo;Regular;2;BAIXO;13;12;12;12,33333333;B;NÃO
F;16;LE3;Sim;Fundamental;Fundamental;Servidor;Servidor;Baixo;Não;Não;Sim;Não;Sim;Sim;Não;Bom;Regular;Regular;Pouco;Regular;Boa;0;BAIXO;14;13;13;13,33333333;B;NÃO
F;15;LE3;Sim;Superior;Fundamental;Saúde;Outros;Baixo;Não;Não;Sim;Não;Sim;Sim;Não;Bom;Regular;Regular;Pouquíssimo;Pouquíssimo;Excelente;0;BAIXO;16;14;16;15,33333333;A;NÃO
M;15;LE3;Não;Superior;Fundamental;Saúde;Saúde;Baixíssimo;Não;Não;Não;Não;Sim;Não;Não;Excelente;Altíssimo;Altíssimo;Regular;Alto;Excelente;4;BAIXO;10;9;9;9,333333333;C;SIM
F;15;GT3;Sim;Superior;Superior;Servidor;Servidor;Baixíssimo;Não;Sim;Sim;Não;Sim;Sim;Não;Regular;Regular;Alto;Pouco;Regular;Excelente;0;BAIXO;13;12;12;12,33333333;B;NÃO
F;15;LE3;Não;Médio;Médio;Outros;Outros;Baixíssimo;Não;Não;Não;Não;Sim;Sim;Não;Excelente;Regular;Alto;Alto;Alto;Péssima;0;BAIXO;13;12;13;12,66666667;B;NÃO
F;16;GT3;Não;Fundamental;Primário;Outros;Outros;Baixo;Não;Não;Não;Sim;Sim;Sim;Sim;Excelente;Regular;Alto;Pouquíssimo;Pouquíssimo;Ruim;2;BAIXO;12;13;12;12,33333333;B;NÃO
F;15;GT3;Não;Superior;Médio;Servidor;Servidor;Baixo;Não;Não;Sim;Sim;Sim;Sim;Não;Bom;Regular;Pouco;Pouquíssimo;Pouquíssimo;Péssima;0;BAIXO;15;14;15;14,66666667;B;NÃO
M;15;GT3;Sim;Superior;Superior;Professor;Saúde;Baixo;Não;Não;Sim;Sim;Sim;Não;Não;Regular;Pouco;Pouco;Pouquíssimo;Pouquíssimo;Excelente;8;MODERADA;15;15;16;15,33333333;A;NÃO
M;15;LE3;Sim;Primário;Fundamental;Outros;Lar;Baixo;Não;Sim;Sim;Sim;Sim;Sim;Não;Bom;Regular;Pouco;Pouquíssimo;Pouquíssimo;Excelente;0;BAIXO;14;13;14;13,66666667;B;NÃO
F;16;GT3;Sim;Superior;Fundamental;Servidor;Outros;Baixo;Não;Não;Sim;Não;Sim;Sim;Não;Bom;Pouco;Regular;Pouquíssimo;Pouquíssimo;Excelente;2;BAIXO;16;15;16;15,66666667;A;NÃO
F;16;GT3;Sim;Superior;Superior;Saúde;Professor;Baixo;Não;Não;Sim;Sim;Sim;Não;Não;Ruim;Alto;Alto;Pouco;Regular;Boa;0;BAIXO;17;16;16;16,33333333;A;NÃO
F;16;GT3;Sim;Primário;Primário;Servidor;Servidor;Baixíssimo;Não;Sim;Sim;Sim;Sim;Sim;Sim;Excelente;Altíssimo;Altíssimo;Altíssimo;Altíssimo;Excelente;0;BAIXO;10;10;16;12;B;NÃO
F;16;LE3;Sim;Primário;Fundamental;Outros;Servidor;Baixo;Não;Sim;Não;Sim;Sim;Sim;Não;Bom;Alto;Regular;Pouquíssimo;Pouquíssimo;Péssima;0;BAIXO;13;13;10;12;B;NÃO
F;16;GT3;Sim;Superior;Médio;Professor;Saúde;Médio;Não;Sim;Sim;Sim;Sim;Sim;Não;Regular;Alto;Alto;Pouco;Alto;Boa;0;BAIXO;14;13;13;13,33333333;B;NÃO
F;15;LE3;Sim;Superior;Médio;Servidor;Servidor;Baixo;Não;Sim;Não;Sim;Sim;Sim;Sim;Bom;Alto;Alto;Pouco;Alto;Ruim;0;BAIXO;13;12;12;12,33333333;B;NÃO
F;16;LE3;Sim;Superior;Médio;Professor;Servidor;Baixo;Não;Não;Sim;Sim;Sim;Sim;Não;Excelente;Alto;Regular;Pouquíssimo;Pouco;Péssima;2;BAIXO;16;15;16;15,66666667;A;NÃO
M;15;GT3;Não;Superior;Superior;Outros;Servidor;Alto;Não;Não;Sim;Sim;Sim;Sim;Sim;Péssimo;Regular;Regular;Altíssimo;Altíssimo;Regular;0;BAIXO;11;12;12;11,66666667;B;NÃO
F;16;GT3;Sim;Médio;Primário;Servidor;Outros;Alto;Não;Sim;Sim;Não;Sim;Sim;Não;Bom;Regular;Regular;Pouquíssimo;Pouco;Excelente;0;BAIXO;10;9;10;9,666666667;C;SIM
F;15;LE3;Sim;Fundamental;Fundamental;Saúde;Servidor;Baixo;Não;Sim;Sim;Não;Sim;Sim;Não;Bom;Pouquíssimo;Regular;Pouquíssimo;Regular;Boa;0;BAIXO;11;10;11;10,66666667;B;NÃO
F;15;LE3;Sim;Médio;Primário;Outros;Outros;Alto;Não;Não;Sim;Não;Sim;Sim;Não;Bom;Alto;Pouco;Pouco;Regular;Regular;6;MODERADA;15;15;15;15;A;NÃO
M;16;GT3;Sim;Médio;Primário;Outros;Outros;Alto;Não;Não;Sim;Não;Sim;Sim;Não;Bom;Regular;Pouco;Pouquíssimo;Pouquíssimo;Excelente;2;BAIXO;13;11;11;11,66666667;B;NÃO
M;15;GT3;Sim;Superior;Fundamental;Outros;Outros;Alto;Não;Não;Não;Não;Sim;Sim;Não;Regular;Regular;Regular;Pouquíssimo;Pouquíssimo;Regular;0;BAIXO;11;9;10;10;B;NÃO
F;15;GT3;Sim;Primário;Primário;Outros;Outros;Baixo;Não;Sim;Sim;Não;Sim;Sim;Sim;Regular;Regular;Alto;Pouco;Alto;Excelente;2;BAIXO;13;11;11;11,66666667;B;NÃO
M;16;GT3;Sim;Médio;Primário;Outros;Outros;Baixíssimo;Não;Não;Não;Sim;Sim;Não;Não;Excelente;Regular;Pouco;Pouco;Pouco;Excelente;0;BAIXO;13;13;14;13,33333333;B;NÃO
F;16;GT3;Sim;Médio;Médio;Outros;Servidor;Baixo;Não;Sim;Sim;Sim;Sim;Sim;Não;Bom;Regular;Regular;Pouco;Alto;Excelente;4;BAIXO;11;11;11;11;B;NÃO
M;15;GT3;Sim;Superior;Médio;Professor;Outros;Baixo;Não;Não;Sim;Sim;Sim;Sim;Não;Bom;Regular;Regular;Pouco;Regular;Excelente;0;BAIXO;11;11;11;11;B;NÃO
M;15;GT3;Sim;Superior;Inexistente;Professor;Outros;Alto;Não;Não;Não;Sim;Sim;Sim;Não;Regular;Alto;Regular;Pouquíssimo;Pouquíssimo;Péssima;0;BAIXO;12;11;11;11,33333333;B;NÃO
F;16;GT3;Sim;Fundamental;Fundamental;Outros;Outros;Alto;Não;Não;Não;Não;Sim;Sim;Sim;Excelente;Pouco;Regular;Pouquíssimo;Regular;Regular;1;BAIXO;13;13;13;13;B;NÃO
M;17;GT3;Sim;Fundamental;Primário;Outros;Outros;Baixíssimo;Muitas;Sim;Sim;Sim;Não;Sim;Não;Bom;Altíssimo;Pouquíssimo;Pouquíssimo;Pouquíssimo;Regular;0;BAIXO;9;9;10;9,333333333;C;SIM
F;16;GT3;Sim;Médio;Superior;Lar;Outros;Baixo;Não;Não;Sim;Não;Sim;Sim;Não;Ruim;Alto;Regular;Pouquíssimo;Pouco;Regular;14;ALTÍSSIMO;12;11;11;11,33333333;B;NÃO
M;15;GT3;Sim;Fundamental;Médio;Outros;Servidor;Baixíssimo;Não;Sim;Sim;Sim;Sim;Sim;Sim;Regular;Pouco;Pouco;Pouquíssimo;Regular;Regular;0;BAIXO;11;11;12;11,33333333;B;NÃO
M;15;GT3;Sim;Fundamental;Médio;Outros;Outros;Médio;Não;Sim;Não;Não;Sim;Sim;Não;Excelente;Regular;Pouco;Pouquíssimo;Pouco;Excelente;2;BAIXO;10;9;9;9,333333333;C;SIM
F;15;LE3;Sim;Médio;Fundamental;Servidor;Outros;Baixo;Não;Não;Sim;Não;Sim;Sim;Não;Bom;Alto;Alto;Pouquíssimo;Pouquíssimo;Excelente;4;BAIXO;12;11;11;11,33333333;B;NÃO
M;15;LE3;Sim;Fundamental;Fundamental;Servidor;Servidor;Baixo;Não;Não;Não;Sim;Sim;Sim;Não;Excelente;Regular;Regular;Pouquíssimo;Regular;Boa;2;BAIXO;13;12;13;12,66666667;B;NÃO
F;15;GT3;Sim;Primário;Primário;Outros;Outros;Baixo;Não;Não;Sim;Sim;Sim;Sim;Não;Bom;Regular;Pouco;Pouco;Regular;Boa;2;BAIXO;13;12;12;12,33333333;B;NÃO
F;15;GT3;Sim;Superior;Superior;Servidor;Servidor;Baixo;Não;Não;Não;Não;Sim;Sim;Sim;Bom;Alto;Alto;Pouco;Regular;Excelente;4;BAIXO;12;11;12;11,66666667;B;NÃO
F;16;LE3;Sim;Fundamental;Fundamental;Lar;Outros;Baixo;Não;Não;Sim;Não;Sim;Não;Não;Bom;Regular;Alto;Pouquíssimo;Pouco;Ruim;6;MODERADA;13;11;11;11,66666667;B;NÃO
F;15;GT3;Sim;Superior;Fundamental;Outros;Outros;Médio;Não;Não;Sim;Sim;Sim;Sim;Não;Excelente;Regular;Regular;Pouquíssimo;Regular;Péssima;4;BAIXO;15;15;15;15;A;NÃO
M;16;GT3;Sim;Fundamental;Fundamental;Servidor;Outros;Baixo;Não;Não;Não;Sim;Sim;Sim;Não;Bom;Alto;Pouco;Pouquíssimo;Pouquíssimo;Regular;6;MODERADA;12;10;11;11;B;NÃO
M;16;LE3;Não;Superior;Superior;Professor;Saúde;Baixo;Não;Não;Sim;Não;Sim;Não;Não;Bom;Pouquíssimo;Regular;Regular;Altíssimo;Excelente;6;MODERADA;9;9;10;9,333333333;C;SIM
F;16;GT3;Sim;Médio;Médio;Outros;Outros;Médio;Não;Não;Sim;Não;Sim;Sim;Sim;Bom;Regular;Regular;Pouquíssimo;Regular;Boa;2;BAIXO;9;11;11;10,33333333;B;NÃO
F;15;GT3;Sim;Superior;Médio;Servidor;Outros;Baixíssimo;Não;Não;Não;Sim;Sim;Sim;Não;Bom;Altíssimo;Altíssimo;Pouquíssimo;Regular;Péssima;6;MODERADA;14;13;13;13,33333333;B;NÃO
F;16;LE3;Sim;Médio;Primário;Outros;Outros;Baixo;Não;Sim;Sim;Não;Sim;Não;Não;Regular;Regular;Regular;Pouco;Regular;Ruim;0;BAIXO;12;13;12;12,33333333;B;NÃO
F;16;GT3;Sim;Superior;Fundamental;Professor;Servidor;Baixo;Não;Não;Sim;Sim;Sim;Sim;Não;Excelente;Regular;Regular;Pouquíssimo;Pouquíssimo;Péssima;2;BAIXO;13;14;14;13,66666667;B;NÃO
M;15;LE3;Sim;Fundamental;Fundamental;Servidor;Saúde;Alto;Não;Não;Sim;Sim;Sim;Sim;Não;Bom;Regular;Alto;Pouquíssimo;Pouquíssimo;Boa;2;BAIXO;11;12;12;11,66666667;B;NÃO
F;15;GT3;Sim;Primário;Primário;Lar;Outros;Alto;Não;Sim;Sim;Sim;Sim;Sim;Não;Regular;Pouquíssimo;Pouco;Pouquíssimo;Pouquíssimo;Péssima;4;BAIXO;13;13;13;13;B;NÃO
M;16;GT3;Sim;Superior;Médio;Servidor;Outros;Baixíssimo;Não;Sim;Sim;Sim;Sim;Sim;Não;Regular;Regular;Regular;Pouquíssimo;Pouquíssimo;Boa;6;MODERADA;9;11;11;10,33333333;B;NÃO
F;16;GT3;Sim;Fundamental;Primário;Outros;Outros;Baixo;Não;Não;Sim;Não;Sim;Não;Sim;Bom;Regular;Altíssimo;Pouquíssimo;Pouquíssimo;Excelente;0;BAIXO;13;12;12;12,33333333;B;NÃO
F;16;GT3;Sim;Superior;Superior;Outros;Outros;Baixíssimo;Não;Não;Não;Sim;Sim;Sim;Não;Excelente;Regular;Alto;Pouquíssimo;Pouco;Péssima;4;BAIXO;12;13;13;12,66666667;B;NÃO
F;16;GT3;Sim;Superior;Médio;Outros;Lar;Médio;Não;Sim;Sim;Não;Sim;Sim;Não;Excelente;Regular;Altíssimo;Pouquíssimo;Pouquíssimo;Regular;2;BAIXO;12;13;13;12,66666667;B;NÃO
M;16;GT3;Sim;Superior;Superior;Servidor;Servidor;Baixíssimo;Não;Sim;Sim;Sim;Sim;Sim;Não;Bom;Altíssimo;Altíssimo;Altíssimo;Altíssimo;Boa;12;ALTO;9;9;8;8,666666667;C;SIM
M;16;GT3;Sim;Superior;Superior;Servidor;Professor;Médio;Não;Não;Sim;Sim;Sim;Sim;Sim;Bom;Alto;Regular;Pouquíssimo;Pouquíssimo;Boa;0;BAIXO;16;16;16;16;A;NÃO
M;15;GT3;Sim;Superior;Superior;Servidor;Outros;Baixíssimo;Não;Não;Sim;Sim;Sim;Sim;Não;Excelente;Regular;Regular;Pouquíssimo;Pouquíssimo;Excelente;2;BAIXO;12;13;12;12,33333333;B;NÃO
F;15;GT3;Sim;Médio;Fundamental;Servidor;Outros;Baixo;Não;Sim;Sim;Não;Sim;Sim;Não;Bom;Regular;Altíssimo;Pouquíssimo;Pouquíssimo;Ruim;16;ALTÍSSIMO;11;10;10;10,33333333;B;NÃO
M;15;GT3;Não;Médio;Superior;Servidor;Outros;Baixo;Não;Não;Sim;Sim;Sim;Sim;Não;Excelente;Alto;Alto;Pouquíssimo;Pouquíssimo;Péssima;0;BAIXO;16;16;16;16;A;NÃO
F;15;GT3;Não;Médio;Médio;Outros;Saúde;Alto;Não;Sim;Não;Não;Sim;Não;Não;Bom;Regular;Regular;Pouquíssimo;Pouquíssimo;Boa;10;ALTO;10;10;10;10;B;NÃO
F;15;GT3;Sim;Fundamental;Fundamental;Outros;Outros;Alto;Não;Sim;Sim;Não;Sim;Sim;Não;Excelente;Pouquíssimo;Pouco;Pouquíssimo;Pouquíssimo;Regular;4;BAIXO;10;10;10;10;B;NÃO
M;16;GT3;Sim;Médio;Médio;Servidor;Outros;Médio;Não;Não;Sim;Sim;Sim;Sim;Não;Excelente;Regular;Regular;Pouquíssimo;Pouquíssimo;Excelente;4;BAIXO;13;14;14;13,66666667;B;NÃO
M;15;GT3;Sim;Superior;Superior;Outros;Outros;Alto;Não;Não;Sim;Sim;Sim;Sim;Sim;Péssimo;Regular;Altíssimo;Regular;Altíssimo;Péssima;8;MODERADA;12;10;11;11;B;NÃO
F;16;LE3;Sim;Superior;Superior;Saúde;Saúde;Médio;Não;Não;Sim;Sim;Sim;Sim;Sim;Excelente;Alto;Altíssimo;Pouquíssimo;Pouquíssimo;Boa;2;BAIXO;15;15;14;14,66666667;B;NÃO
