@RELATION BASE

@ATTRIBUTE sexo {F,M}
@ATTRIBUTE tamanhodafamilia {GT3,LE3}
@ATTRIBUTE moracomafamilia {Nao,Sim}
@ATTRIBUTE nivelescolarmae {Fundamental,Inexistente,Medio,Primario,Superior}
@ATTRIBUTE nivelescolarpai {Fundamental,Inexistente,Medio,Primario,Superior}
@ATTRIBUTE trabalhomae {Lar,Outros,Professor,SaUde,Servidor}
@ATTRIBUTE trabalhopai {Lar,Outros,Professor,SaUde,Servidor}
@ATTRIBUTE tempoestudosemanal {Alto,Baixo,Baixissimo,Medio}
@ATTRIBUTE reprovacoes {Muitas,Nao,Poucas}
@ATTRIBUTE suporteeducacionalescolar {Nao,Sim}
@ATTRIBUTE suporteeducacionalfamiliar {Nao,Sim}
@ATTRIBUTE realizaatividadeextracurricular {Nao,Sim}
@ATTRIBUTE visaeducacaosuperior {Nao,Sim}
@ATTRIBUTE possuiinternetemcasa {Nao,Sim}
@ATTRIBUTE temalgumrelacionamentoamoroso {Nao,Sim}
@ATTRIBUTE qualidaderelacionamentofamiliar {Bom,Excelente,Pessimo,Regular,Ruim}
@ATTRIBUTE tempolivre {Alto,Altissimo,Pouco,Pouquissimo,Regular}
@ATTRIBUTE saircamigos {Alto,Altissimo,Pouco,Pouquissimo,Regular}
@ATTRIBUTE consumoalcooldiasemana {Alto,Altissimo,Pouco,Pouquissimo,Regular}
@ATTRIBUTE consumoalcoolfimsemana {Alto,Altissimo,Pouco,Pouquissimo,Regular}
@ATTRIBUTE condicaodesaUde {Boa,Excelente,Pessima,Regular,Ruim}
@ATTRIBUTE faltasconceito {ALTO,ALTiSSIMO,BAIXO,MODERADA}
@ATTRIBUTE desemepenhoruim {Nao,SIM}

@DATA
F,GT3,Sim,Fundamental,Fundamental,Servidor,Servidor,Baixissimo,Nao,Nao,Sim,Nao,Sim,Sim,Nao,Pessimo,Pouco,Pouco,Pouquissimo,Regular,Excelente,MODERADA,Nao
M,GT3,Sim,Fundamental,Fundamental,Outros,Outros,Baixissimo,Nao,Nao,Sim,Nao,Sim,Sim,Nao,Bom,Pouco,Pouco,Pouquissimo,Pouco,Excelente,MODERADA,Nao
M,GT3,Sim,Superior,Fundamental,SaUde,Servidor,Baixissimo,Nao,Nao,Nao,Nao,Sim,Sim,Nao,Ruim,Pouco,Alto,Pouco,Alto,Pessima,BAIXO,Nao
M,LE3,Nao,Medio,Superior,Servidor,Outros,Baixo,Nao,Sim,Sim,Sim,Sim,Sim,Nao,Excelente,Regular,Regular,Pouquissimo,Pouquissimo,Excelente,BAIXO,Nao
M,GT3,Sim,Superior,Superior,Professor,Professor,Baixo,Nao,Nao,Sim,Sim,Sim,Sim,Sim,Bom,Alto,Altissimo,Altissimo,Altissimo,Excelente,BAIXO,Nao
M,GT3,Sim,Superior,Superior,SaUde,Servidor,Baixo,Nao,Nao,Sim,Nao,Sim,Sim,Nao,Excelente,Alto,Pouco,Regular,Alto,Excelente,BAIXO,Nao
M,GT3,Sim,Superior,Superior,Servidor,Servidor,Baixo,Nao,Nao,Sim,Sim,Sim,Sim,Nao,Bom,Regular,Pouquissimo,Pouquissimo,Pouquissimo,Excelente,BAIXO,Nao
M,GT3,Sim,Superior,Medio,Professor,Lar,Baixo,Nao,Nao,Sim,Sim,Sim,Sim,Sim,Bom,Altissimo,Pouco,Pouquissimo,Pouquissimo,Excelente,BAIXO,Nao
M,LE3,Sim,Medio,Medio,Outros,Outros,Baixo,Nao,Nao,Nao,Sim,Sim,Sim,Nao,Excelente,Regular,Pouco,Pouquissimo,Pouquissimo,Ruim,BAIXO,Nao
M,GT3,Sim,Medio,Fundamental,Outros,Outros,Baixissimo,Nao,Nao,Sim,Nao,Sim,Sim,Nao,Excelente,Alto,Regular,Pouquissimo,Pouquissimo,Excelente,BAIXO,Nao
F,GT3,Sim,Fundamental,Medio,Outros,Outros,Baixissimo,Nao,Nao,Sim,Sim,Sim,Nao,Nao,Regular,Altissimo,Pouquissimo,Pouquissimo,Pouquissimo,Excelente,BAIXO,Nao
M,LE3,Sim,Superior,Medio,Professor,Servidor,Medio,Nao,Nao,Sim,Sim,Sim,Sim,Nao,Excelente,Alto,Regular,Pouquissimo,Pouquissimo,Boa,BAIXO,Nao
M,GT3,Nao,Superior,Superior,Outros,Professor,Medio,Nao,Nao,Sim,Sim,Sim,Sim,Sim,Ruim,Alto,Regular,Pouquissimo,Pouquissimo,Excelente,BAIXO,Nao
F,GT3,Sim,Medio,Superior,Servidor,SaUde,Medio,Nao,Sim,Sim,Sim,Sim,Sim,Nao,Bom,Regular,Pouco,Pouquissimo,Pouquissimo,Excelente,BAIXO,Nao
F,GT3,Sim,Fundamental,Fundamental,Lar,Outros,Baixissimo,Nao,Sim,Sim,Sim,Sim,Nao,Nao,Bom,Regular,Pouquissimo,Pouquissimo,Pouquissimo,Ruim,MODERADA,Nao
F,LE3,Sim,Fundamental,Fundamental,Outros,Outros,Baixo,Nao,Nao,Sim,Sim,Sim,Sim,Sim,Regular,Regular,Regular,Pouquissimo,Pouco,Regular,ALTiSSIMO,Nao
M,LE3,Sim,Superior,Superior,Professor,Outros,Baixissimo,Nao,Nao,Sim,Nao,Sim,Sim,Sim,Excelente,Alto,Regular,Pouco,Alto,Excelente,MODERADA,Nao
M,GT3,Sim,Superior,Superior,Servidor,Professor,Baixo,Nao,Nao,Sim,Sim,Sim,Sim,Nao,Bom,Regular,Regular,Pouquissimo,Pouquissimo,Excelente,BAIXO,Nao
M,GT3,Sim,Fundamental,Fundamental,Servidor,Servidor,Baixissimo,Nao,Sim,Sim,Nao,Sim,Sim,Nao,Excelente,Alto,Pouquissimo,Pouquissimo,Pouquissimo,Pessima,BAIXO,SIM
F,LE3,Sim,Fundamental,Fundamental,Outros,Lar,Baixo,Poucas,Sim,Nao,Sim,Sim,Sim,Nao,Bom,Regular,Regular,Pouco,Pouco,Excelente,ALTiSSIMO,Nao
F,LE3,Nao,Superior,Medio,Outros,Outros,Baixo,Nao,Sim,Sim,Sim,Sim,Sim,Sim,Excelente,Pouco,Pouco,Pouquissimo,Pouquissimo,Excelente,BAIXO,Nao
F,LE3,Nao,Medio,Medio,Outros,Servidor,Baixo,Nao,Nao,Sim,Nao,Sim,Sim,Nao,Ruim,Regular,Altissimo,Pouquissimo,Alto,Regular,MODERADA,Nao
M,GT3,Sim,Superior,Medio,SaUde,Servidor,Alto,Nao,Nao,Nao,Sim,Sim,Sim,Nao,Bom,Pouco,Pouco,Pouquissimo,Pouquissimo,Ruim,BAIXO,Nao
M,GT3,Sim,Superior,Fundamental,Professor,Outros,Baixo,Nao,Nao,Sim,Nao,Sim,Nao,Nao,Bom,Regular,Regular,Pouco,Pouco,Excelente,BAIXO,Nao
F,GT3,Sim,Superior,Superior,Servidor,Professor,Baixo,Nao,Sim,Sim,Sim,Sim,Sim,Nao,Bom,Alto,Alto,Pouquissimo,Pouquissimo,Regular,BAIXO,Nao
F,LE3,Sim,Fundamental,Fundamental,Servidor,Servidor,Baixo,Nao,Nao,Sim,Nao,Sim,Sim,Nao,Bom,Regular,Regular,Pouco,Regular,Boa,BAIXO,Nao
F,LE3,Sim,Superior,Fundamental,SaUde,Outros,Baixo,Nao,Nao,Sim,Nao,Sim,Sim,Nao,Bom,Regular,Regular,Pouquissimo,Pouquissimo,Excelente,BAIXO,Nao
M,LE3,Nao,Superior,Fundamental,SaUde,SaUde,Baixissimo,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Excelente,Altissimo,Altissimo,Regular,Alto,Excelente,BAIXO,SIM
F,GT3,Sim,Superior,Superior,Servidor,Servidor,Baixissimo,Nao,Sim,Sim,Nao,Sim,Sim,Nao,Regular,Regular,Alto,Pouco,Regular,Excelente,BAIXO,Nao
F,LE3,Nao,Medio,Medio,Outros,Outros,Baixissimo,Nao,Nao,Nao,Nao,Sim,Sim,Nao,Excelente,Regular,Alto,Alto,Alto,Pessima,BAIXO,Nao
F,GT3,Nao,Fundamental,Primario,Outros,Outros,Baixo,Nao,Nao,Nao,Sim,Sim,Sim,Sim,Excelente,Regular,Alto,Pouquissimo,Pouquissimo,Ruim,BAIXO,Nao
F,GT3,Nao,Superior,Medio,Servidor,Servidor,Baixo,Nao,Nao,Sim,Sim,Sim,Sim,Nao,Bom,Regular,Pouco,Pouquissimo,Pouquissimo,Pessima,BAIXO,Nao
M,GT3,Sim,Superior,Superior,Professor,SaUde,Baixo,Nao,Nao,Sim,Sim,Sim,Nao,Nao,Regular,Pouco,Pouco,Pouquissimo,Pouquissimo,Excelente,MODERADA,Nao
M,LE3,Sim,Primario,Fundamental,Outros,Lar,Baixo,Nao,Sim,Sim,Sim,Sim,Sim,Nao,Bom,Regular,Pouco,Pouquissimo,Pouquissimo,Excelente,BAIXO,Nao
F,GT3,Sim,Superior,Fundamental,Servidor,Outros,Baixo,Nao,Nao,Sim,Nao,Sim,Sim,Nao,Bom,Pouco,Regular,Pouquissimo,Pouquissimo,Excelente,BAIXO,Nao
F,GT3,Sim,Superior,Superior,SaUde,Professor,Baixo,Nao,Nao,Sim,Sim,Sim,Nao,Nao,Ruim,Alto,Alto,Pouco,Regular,Boa,BAIXO,Nao
F,GT3,Sim,Primario,Primario,Servidor,Servidor,Baixissimo,Nao,Sim,Sim,Sim,Sim,Sim,Sim,Excelente,Altissimo,Altissimo,Altissimo,Altissimo,Excelente,BAIXO,Nao
F,LE3,Sim,Primario,Fundamental,Outros,Servidor,Baixo,Nao,Sim,Nao,Sim,Sim,Sim,Nao,Bom,Alto,Regular,Pouquissimo,Pouquissimo,Pessima,BAIXO,Nao
F,GT3,Sim,Superior,Medio,Professor,SaUde,Medio,Nao,Sim,Sim,Sim,Sim,Sim,Nao,Regular,Alto,Alto,Pouco,Alto,Boa,BAIXO,Nao
F,LE3,Sim,Superior,Medio,Servidor,Servidor,Baixo,Nao,Sim,Nao,Sim,Sim,Sim,Sim,Bom,Alto,Alto,Pouco,Alto,Ruim,BAIXO,Nao
F,LE3,Sim,Superior,Medio,Professor,Servidor,Baixo,Nao,Nao,Sim,Sim,Sim,Sim,Nao,Excelente,Alto,Regular,Pouquissimo,Pouco,Pessima,BAIXO,Nao
M,GT3,Nao,Superior,Superior,Outros,Servidor,Alto,Nao,Nao,Sim,Sim,Sim,Sim,Sim,Pessimo,Regular,Regular,Altissimo,Altissimo,Regular,BAIXO,Nao
F,GT3,Sim,Medio,Primario,Servidor,Outros,Alto,Nao,Sim,Sim,Nao,Sim,Sim,Nao,Bom,Regular,Regular,Pouquissimo,Pouco,Excelente,BAIXO,SIM
F,LE3,Sim,Fundamental,Fundamental,SaUde,Servidor,Baixo,Nao,Sim,Sim,Nao,Sim,Sim,Nao,Bom,Pouquissimo,Regular,Pouquissimo,Regular,Boa,BAIXO,Nao
F,LE3,Sim,Medio,Primario,Outros,Outros,Alto,Nao,Nao,Sim,Nao,Sim,Sim,Nao,Bom,Alto,Pouco,Pouco,Regular,Regular,MODERADA,Nao
M,GT3,Sim,Medio,Primario,Outros,Outros,Alto,Nao,Nao,Sim,Nao,Sim,Sim,Nao,Bom,Regular,Pouco,Pouquissimo,Pouquissimo,Excelente,BAIXO,Nao
M,GT3,Sim,Superior,Fundamental,Outros,Outros,Alto,Nao,Nao,Nao,Nao,Sim,Sim,Nao,Regular,Regular,Regular,Pouquissimo,Pouquissimo,Regular,BAIXO,Nao
F,GT3,Sim,Primario,Primario,Outros,Outros,Baixo,Nao,Sim,Sim,Nao,Sim,Sim,Sim,Regular,Regular,Alto,Pouco,Alto,Excelente,BAIXO,Nao
M,GT3,Sim,Medio,Primario,Outros,Outros,Baixissimo,Nao,Nao,Nao,Sim,Sim,Nao,Nao,Excelente,Regular,Pouco,Pouco,Pouco,Excelente,BAIXO,Nao
F,GT3,Sim,Medio,Medio,Outros,Servidor,Baixo,Nao,Sim,Sim,Sim,Sim,Sim,Nao,Bom,Regular,Regular,Pouco,Alto,Excelente,BAIXO,Nao
M,GT3,Sim,Superior,Medio,Professor,Outros,Baixo,Nao,Nao,Sim,Sim,Sim,Sim,Nao,Bom,Regular,Regular,Pouco,Regular,Excelente,BAIXO,Nao
M,GT3,Sim,Superior,Inexistente,Professor,Outros,Alto,Nao,Nao,Nao,Sim,Sim,Sim,Nao,Regular,Alto,Regular,Pouquissimo,Pouquissimo,Pessima,BAIXO,Nao
F,GT3,Sim,Fundamental,Fundamental,Outros,Outros,Alto,Nao,Nao,Nao,Nao,Sim,Sim,Sim,Excelente,Pouco,Regular,Pouquissimo,Regular,Regular,BAIXO,Nao
M,GT3,Sim,Fundamental,Primario,Outros,Outros,Baixissimo,Muitas,Sim,Sim,Sim,Nao,Sim,Nao,Bom,Altissimo,Pouquissimo,Pouquissimo,Pouquissimo,Regular,BAIXO,SIM
F,GT3,Sim,Medio,Superior,Lar,Outros,Baixo,Nao,Nao,Sim,Nao,Sim,Sim,Nao,Ruim,Alto,Regular,Pouquissimo,Pouco,Regular,ALTiSSIMO,Nao
M,GT3,Sim,Fundamental,Medio,Outros,Servidor,Baixissimo,Nao,Sim,Sim,Sim,Sim,Sim,Sim,Regular,Pouco,Pouco,Pouquissimo,Regular,Regular,BAIXO,Nao
M,GT3,Sim,Fundamental,Medio,Outros,Outros,Medio,Nao,Sim,Nao,Nao,Sim,Sim,Nao,Excelente,Regular,Pouco,Pouquissimo,Pouco,Excelente,BAIXO,SIM
F,LE3,Sim,Medio,Fundamental,Servidor,Outros,Baixo,Nao,Nao,Sim,Nao,Sim,Sim,Nao,Bom,Alto,Alto,Pouquissimo,Pouquissimo,Excelente,BAIXO,Nao
M,LE3,Sim,Fundamental,Fundamental,Servidor,Servidor,Baixo,Nao,Nao,Nao,Sim,Sim,Sim,Nao,Excelente,Regular,Regular,Pouquissimo,Regular,Boa,BAIXO,Nao
F,GT3,Sim,Primario,Primario,Outros,Outros,Baixo,Nao,Nao,Sim,Sim,Sim,Sim,Nao,Bom,Regular,Pouco,Pouco,Regular,Boa,BAIXO,Nao
F,GT3,Sim,Superior,Superior,Servidor,Servidor,Baixo,Nao,Nao,Nao,Nao,Sim,Sim,Sim,Bom,Alto,Alto,Pouco,Regular,Excelente,BAIXO,Nao
F,LE3,Sim,Fundamental,Fundamental,Lar,Outros,Baixo,Nao,Nao,Sim,Nao,Sim,Nao,Nao,Bom,Regular,Alto,Pouquissimo,Pouco,Ruim,MODERADA,Nao
F,GT3,Sim,Superior,Fundamental,Outros,Outros,Medio,Nao,Nao,Sim,Sim,Sim,Sim,Nao,Excelente,Regular,Regular,Pouquissimo,Regular,Pessima,BAIXO,Nao
M,GT3,Sim,Fundamental,Fundamental,Servidor,Outros,Baixo,Nao,Nao,Nao,Sim,Sim,Sim,Nao,Bom,Alto,Pouco,Pouquissimo,Pouquissimo,Regular,MODERADA,Nao
M,LE3,Nao,Superior,Superior,Professor,SaUde,Baixo,Nao,Nao,Sim,Nao,Sim,Nao,Nao,Bom,Pouquissimo,Regular,Regular,Altissimo,Excelente,MODERADA,SIM
F,GT3,Sim,Medio,Medio,Outros,Outros,Medio,Nao,Nao,Sim,Nao,Sim,Sim,Sim,Bom,Regular,Regular,Pouquissimo,Regular,Boa,BAIXO,Nao
F,GT3,Sim,Superior,Medio,Servidor,Outros,Baixissimo,Nao,Nao,Nao,Sim,Sim,Sim,Nao,Bom,Altissimo,Altissimo,Pouquissimo,Regular,Pessima,MODERADA,Nao
F,LE3,Sim,Medio,Primario,Outros,Outros,Baixo,Nao,Sim,Sim,Nao,Sim,Nao,Nao,Regular,Regular,Regular,Pouco,Regular,Ruim,BAIXO,Nao
F,GT3,Sim,Superior,Fundamental,Professor,Servidor,Baixo,Nao,Nao,Sim,Sim,Sim,Sim,Nao,Excelente,Regular,Regular,Pouquissimo,Pouquissimo,Pessima,BAIXO,Nao
M,LE3,Sim,Fundamental,Fundamental,Servidor,SaUde,Alto,Nao,Nao,Sim,Sim,Sim,Sim,Nao,Bom,Regular,Alto,Pouquissimo,Pouquissimo,Boa,BAIXO,Nao
F,GT3,Sim,Primario,Primario,Lar,Outros,Alto,Nao,Sim,Sim,Sim,Sim,Sim,Nao,Regular,Pouquissimo,Pouco,Pouquissimo,Pouquissimo,Pessima,BAIXO,Nao
M,GT3,Sim,Superior,Medio,Servidor,Outros,Baixissimo,Nao,Sim,Sim,Sim,Sim,Sim,Nao,Regular,Regular,Regular,Pouquissimo,Pouquissimo,Boa,MODERADA,Nao
F,GT3,Sim,Fundamental,Primario,Outros,Outros,Baixo,Nao,Nao,Sim,Nao,Sim,Nao,Sim,Bom,Regular,Altissimo,Pouquissimo,Pouquissimo,Excelente,BAIXO,Nao
F,GT3,Sim,Superior,Superior,Outros,Outros,Baixissimo,Nao,Nao,Nao,Sim,Sim,Sim,Nao,Excelente,Regular,Alto,Pouquissimo,Pouco,Pessima,BAIXO,Nao
F,GT3,Sim,Superior,Medio,Outros,Lar,Medio,Nao,Sim,Sim,Nao,Sim,Sim,Nao,Excelente,Regular,Altissimo,Pouquissimo,Pouquissimo,Regular,BAIXO,Nao
M,GT3,Sim,Superior,Superior,Servidor,Servidor,Baixissimo,Nao,Sim,Sim,Sim,Sim,Sim,Nao,Bom,Altissimo,Altissimo,Altissimo,Altissimo,Boa,ALTO,SIM
M,GT3,Sim,Superior,Superior,Servidor,Professor,Medio,Nao,Nao,Sim,Sim,Sim,Sim,Sim,Bom,Alto,Regular,Pouquissimo,Pouquissimo,Boa,BAIXO,Nao
M,GT3,Sim,Superior,Superior,Servidor,Outros,Baixissimo,Nao,Nao,Sim,Sim,Sim,Sim,Nao,Excelente,Regular,Regular,Pouquissimo,Pouquissimo,Excelente,BAIXO,Nao
F,GT3,Sim,Medio,Fundamental,Servidor,Outros,Baixo,Nao,Sim,Sim,Nao,Sim,Sim,Nao,Bom,Regular,Altissimo,Pouquissimo,Pouquissimo,Ruim,ALTiSSIMO,Nao
M,GT3,Nao,Medio,Superior,Servidor,Outros,Baixo,Nao,Nao,Sim,Sim,Sim,Sim,Nao,Excelente,Alto,Alto,Pouquissimo,Pouquissimo,Pessima,BAIXO,Nao
F,GT3,Nao,Medio,Medio,Outros,SaUde,Alto,Nao,Sim,Nao,Nao,Sim,Nao,Nao,Bom,Regular,Regular,Pouquissimo,Pouquissimo,Boa,ALTO,Nao
F,GT3,Sim,Fundamental,Fundamental,Outros,Outros,Alto,Nao,Sim,Sim,Nao,Sim,Sim,Nao,Excelente,Pouquissimo,Pouco,Pouquissimo,Pouquissimo,Regular,BAIXO,Nao
M,GT3,Sim,Medio,Medio,Servidor,Outros,Medio,Nao,Nao,Sim,Sim,Sim,Sim,Nao,Excelente,Regular,Regular,Pouquissimo,Pouquissimo,Excelente,BAIXO,Nao
M,GT3,Sim,Superior,Superior,Outros,Outros,Alto,Nao,Nao,Sim,Sim,Sim,Sim,Sim,Pessimo,Regular,Altissimo,Regular,Altissimo,Pessima,MODERADA,Nao
F,LE3,Sim,Superior,Superior,SaUde,SaUde,Medio,Nao,Nao,Sim,Sim,Sim,Sim,Sim,Excelente,Alto,Altissimo,Pouquissimo,Pouquissimo,Boa,BAIXO,Nao
M,LE3,Nao,Superior,Superior,Professor,Professor,Baixissimo,Nao,Nao,Nao,Sim,Sim,Sim,Nao,Excelente,Altissimo,Regular,Pouquissimo,Pouquissimo,Boa,BAIXO,Nao
F,GT3,Sim,Medio,Medio,Servidor,Outros,Medio,Nao,Sim,Sim,Sim,Sim,Sim,Nao,Bom,Pouquissimo,Pouco,Pouquissimo,Pouquissimo,Ruim,BAIXO,Nao
F,GT3,Sim,Fundamental,Fundamental,Lar,Outros,Baixo,Poucas,Sim,Nao,Sim,Sim,Sim,Nao,Regular,Pouquissimo,Pouco,Pouquissimo,Pouquissimo,Excelente,ALTO,SIM
M,LE3,Sim,Superior,Fundamental,Professor,Outros,Baixissimo,Nao,Nao,Nao,Nao,Sim,Sim,Nao,Regular,Altissimo,Pouco,Pouquissimo,Pouquissimo,Regular,ALTO,Nao
M,GT3,Sim,Fundamental,Primario,SaUde,Servidor,Baixo,Nao,Nao,Nao,Sim,Sim,Sim,Sim,Excelente,Alto,Pouco,Pouquissimo,Pouquissimo,Excelente,BAIXO,SIM
M,GT3,Sim,Superior,Superior,Professor,Professor,Baixo,Nao,Nao,Sim,Sim,Sim,Sim,Nao,Excelente,Alto,Alto,Pouquissimo,Pouco,Excelente,MODERADA,Nao
M,GT3,Sim,Superior,Superior,Outros,Professor,Baixo,Nao,Nao,Sim,Sim,Sim,Nao,Nao,Bom,Alto,Regular,Pouquissimo,Pouquissimo,Ruim,BAIXO,Nao
M,GT3,Sim,Medio,Medio,Outros,Servidor,Baixissimo,Nao,Nao,Nao,Sim,Sim,Sim,Nao,Excelente,Alto,Pouco,Pouquissimo,Pouquissimo,Excelente,MODERADA,Nao
